Індекс години,Діапазон дат,Сегмент,Сер. тривалість сеансу
1,01.03.2019,Нові користувачі,0.046
17,02.03.2019,Нові користувачі,0.608
19,08.03.2019,Нові користувачі,0.519
23,08.03.2019,Нові користувачі,0.047
2,10.03.2019,Нові користувачі,0.000
16,10.03.2019,Нові користувачі,0.646
14,14.03.2019,Нові користувачі,0.467
1,18.03.2019,Нові користувачі,0.541
3,18.03.2019,Нові користувачі,0.505
14,19.03.2019,Нові користувачі,0.487
23,21.03.2019,Нові користувачі,0.608
19,22.03.2019,Нові користувачі,0.561
3,23.03.2019,Нові користувачі,0.575
19,23.03.2019,Нові користувачі,0.491
1,25.03.2019,Нові користувачі,0.571
13,26.03.2019,Нові користувачі,0.464
21,27.03.2019,Нові користувачі,0.483
2,29.03.2019,Нові користувачі,1.000
15,12.04.2019,Нові користувачі,0.480
20,12.04.2019,Нові користувачі,0.580
21,12.04.2019,Нові користувачі,0.536
7,13.04.2019,Нові користувачі,0.668
5,19.04.2019,Нові користувачі,0.464
20,19.04.2019,Нові користувачі,0.469
11,20.04.2019,Нові користувачі,0.514
10,22.04.2019,Нові користувачі,0.473
4,25.04.2019,Нові користувачі,0.472
19,26.04.2019,Нові користувачі,0.544
